Zip Code,Number of Returns,Adjusted gross income (AGI)
00000,"  5,987,885 ","  329,860,307 "
15001,"  16,468 ","  738,793 "
15003,"  5,845 ","  207,594 "
15005,"  4,995 ","  285,996 "
15009,"  7,578 ","  430,721 "
15010,"  13,337 ","  607,007 "
15012,"  8,034 ","  394,211 "
15014,"  1,651 ","  58,134 "
15015,  676 ,"  80,750 "
15017,"  8,129 ","  504,877 "
15018,  466 ,"  17,695 "
15019,  830 ,"  34,735 "
15021,"  3,503 ","  161,375 "
15022,"  5,124 ","  207,308 "
15024,"  4,362 ","  258,177 "
15025,"  8,077 ","  454,519 "
15026,"  1,804 ","  96,996 "
15027,"  1,121 ","  44,746 "
15030,  560 ,"  17,814 "
15031,  298 ,"  10,683 "
15033,"  2,300 ","  70,232 "
15034,  955 ,"  33,329 "
15035,"  1,143 ","  38,603 "
15037,"  5,599 ","  269,865 "
15042,"  4,348 ","  202,095 "
15043,"  1,070 ","  47,769 "
15044,"  13,542 ","  1,322,443 "
15045,"  2,230 ","  71,177 "
15046,"  1,340 ","  64,114 "
15049,  599 ,"  21,833 "
15050,"  1,262 ","  62,631 "
15051,  250 ,"  9,452 "
15052,"  1,781 ","  78,349 "
15054,  308 ,"  9,502 "
15055,  866 ,"  43,242 "
15056,  579 ,"  23,061 "
15057,"  6,476 ","  396,764 "
15059,"  1,918 ","  68,609 "
15060,  508 ,"  18,669 "
15061,"  6,505 ","  280,339 "
15062,"  3,737 ","  130,684 "
15063,"  5,916 ","  255,749 "
15065,"  5,917 ","  260,737 "
15066,"  6,168 ","  232,309 "
15067,"  1,164 ","  41,463 "
15068,"  19,978 ","  879,128 "
15071,"  5,102 ","  297,075 "
15074,"  4,677 ","  168,549 "
15076,  500 ,"  16,103 "
15078,  296 ,"  9,650 "
15083,  494 ,"  19,699 "
15084,"  4,946 ","  195,655 "
15085,"  4,171 ","  225,915 "
15088,  330 ,"  10,126 "
15089,"  3,193 ","  134,909 "
15090,"  10,444 ","  1,207,321 "
15101,"  12,509 ","  986,386 "
15102,"  15,953 ","  973,117 "
15104,"  3,948 ","  98,216 "
15106,"  9,915 ","  449,572 "
15108,"  19,814 ","  1,253,486 "
15110,"  2,299 ","  56,786 "
15112,"  1,634 ","  51,261 "
15116,"  7,913 ","  459,890 "
15120,"  9,818 ","  363,243 "
15122,"  10,637 ","  428,807 "
15126,"  3,684 ","  191,712 "
15129,"  5,698 ","  305,091 "
15131,"  4,566 ","  203,025 "
15132,"  9,212 ","  270,904 "
15133,"  3,433 ","  132,023 "
15135,"  2,632 ","  135,626 "
15136,"  11,284 ","  489,139 "
15137,"  5,334 ","  196,884 "
15139,"  3,459 ","  221,861 "
15140,"  1,571 ","  46,782 "
15142,"  1,035 ","  252,676 "
15143,"  9,603 ","  1,502,207 "
15144,"  2,250 ","  85,989 "
15145,"  3,704 ","  122,003 "
15146,"  15,256 ","  805,161 "
15147,"  9,049 ","  370,864 "
15148,"  1,248 ","  33,644 "
15201,"  6,660 ","  227,264 "
15202,"  10,643 ","  476,147 "
15203,"  4,879 ","  230,869 "
15204,"  3,982 ","  129,677 "
15205,"  11,785 ","  566,130 "
15206,"  13,748 ","  617,965 "
15207,"  5,478 ","  189,400 "
15208,"  4,760 ","  274,822 "
15209,"  6,716 ","  306,138 "
15210,"  12,256 ","  368,066 "
15211,"  5,972 ","  286,888 "
15212,"  13,606 ","  495,235 "
15213,"  6,666 ","  379,485 "
15214,"  6,767 ","  250,861 "
15215,"  6,476 ","  594,379 "
15216,"  12,478 ","  585,938 "
15217,"  13,175 ","  1,156,239 "
15218,"  7,396 ","  365,834 "
15219,"  5,099 ","  219,229 "
15220,"  9,470 ","  489,448 "
15221,"  15,810 ","  652,684 "
15222,"  2,366 ","  344,392 "
15223,"  3,940 ","  138,878 "
15224,"  5,114 ","  158,029 "
15225,  649 ,"  22,870 "
15226,"  7,444 ","  299,210 "
15227,"  15,062 ","  664,407 "
15228,"  9,015 ","  814,533 "
15229,"  7,696 ","  363,962 "
15230,  266 ,"  15,741 "
15232,"  5,416 ","  470,261 "
15233,"  1,423 ","  66,741 "
15234,"  7,792 ","  363,287 "
15235,"  18,683 ","  879,581 "
15236,"  16,017 ","  847,012 "
15237,"  21,914 ","  1,461,207 "
15238,"  7,201 ","  1,284,800 "
15239,"  10,710 ","  562,926 "
15241,"  10,169 ","  1,402,715 "
15243,"  7,131 ","  616,972 "
15301,"  23,988 ","  1,169,229 "
15311,  664 ,"  34,571 "
15312,"  1,774 ","  84,495 "
15314,"  1,737 ","  69,942 "
15315,  343 ,"  10,983 "
15317,"  18,500 ","  1,436,195 "
15320,"  2,320 ","  102,776 "
15321,  951 ,"  47,792 "
15322,  907 ,"  38,439 "
15323,"  2,169 ","  98,738 "
15324,  352 ,"  12,287 "
15327,  601 ,"  25,978 "
15329,  878 ,"  41,639 "
15330,"  2,759 ","  206,724 "
15331,  493 ,"  16,556 "
15332,"  4,295 ","  194,878 "
15333,  937 ,"  39,315 "
15337,  329 ,"  20,147 "
15338,  772 ,"  34,017 "
15340,  762 ,"  46,262 "
15341,  359 ,"  20,821 "
