PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
00000,Total,"5,934,047","338,384,024"
00000,"$1 under $25,000",2348804,27645427
00000,"$25,000 under $50,000",1454445,52615938
00000,"$50,000 under $75,000",844388,52077387
00000,"$75,000 under $100,000",525688,45503780
00000,"$100,000 under $200,000",597851,80609643
00000,"$200,000 or more",162871,79931849
,,,
15001,,"16,377","768,838"
15001,"$1 under $25,000",6773,78843
15001,"$25,000 under $50,000",4021,145506
15001,"$50,000 under $75,000",2400,148370
15001,"$75,000 under $100,000",1533,132726
15001,"$100,000 under $200,000",1466,188908
15001,"$200,000 or more",184,74485
,,,
15003,,"5,859","213,043"
15003,"$1 under $25,000",2788,32778
15003,"$25,000 under $50,000",1579,56423
15003,"$50,000 under $75,000",819,50177
15003,"$75,000 under $100,000",394,33965
15003,"$100,000 under $200,000",256,31795
15003,"$200,000 or more",23,7905
,,,
15005,,"4,959","309,573"
15005,"$1 under $25,000",1840,21336
15005,"$25,000 under $50,000",1118,40622
15005,"$50,000 under $75,000",736,45374
15005,"$75,000 under $100,000",533,46230
15005,"$100,000 under $200,000",577,75436
15005,"$200,000 or more",155,80575
,,,
15007,,207,"9,548"
15007,"$1 under $25,000",91,956
15007,"$25,000 under $50,000",45,1551
15007,"$50,000 under $75,000",25,1548
15007,"$75,000 under $100,000",** 21,"** 1,806"
15007,"$100,000 under $200,000",25,3687
15007,"$200,000 or more",**,**
,,,
15009,,"7,408","438,323"
15009,"$1 under $25,000",2665,29049
15009,"$25,000 under $50,000",1554,56956
15009,"$50,000 under $75,000",1150,71316
15009,"$75,000 under $100,000",863,74603
15009,"$100,000 under $200,000",945,122719
15009,"$200,000 or more",231,83680
,,,
15010,,"13,208","626,693"
15010,"$1 under $25,000",5534,63822
15010,"$25,000 under $50,000",3152,114029
15010,"$50,000 under $75,000",1981,122160
15010,"$75,000 under $100,000",1220,105259
15010,"$100,000 under $200,000",1121,143021
15010,"$200,000 or more",200,78402
,,,
15012,,"7,772","396,791"
15012,"$1 under $25,000",3112,36002
15012,"$25,000 under $50,000",1757,64455
15012,"$50,000 under $75,000",1205,73819
15012,"$75,000 under $100,000",751,64504
15012,"$100,000 under $200,000",838,110014
15012,"$200,000 or more",109,47997
,,,
15014,,"1,622","55,879"
15014,"$1 under $25,000",741,9429
15014,"$25,000 under $50,000",500,17894
15014,"$50,000 under $75,000",226,13795
15014,"$75,000 under $100,000",105,8944
15014,"$100,000 under $200,000",50,5817
15014,"$200,000 or more",**,**
,,,
15015,,664,"71,544"
15015,"$1 under $25,000",176,1571
15015,"$25,000 under $50,000",84,3096
15015,"$50,000 under $75,000",74,4647
15015,"$75,000 under $100,000",88,7777
15015,"$100,000 under $200,000",162,22644
15015,"$200,000 or more",80,31809
,,,
15017,,"8,072","506,833"
15017,"$1 under $25,000",2651,31189
15017,"$25,000 under $50,000",1995,73690
15017,"$50,000 under $75,000",1268,77978
15017,"$75,000 under $100,000",827,71471
15017,"$100,000 under $200,000",1014,135514
15017,"$200,000 or more",317,116991
,,,
15018,,467,"17,312"
15018,"$1 under $25,000",202,2594
15018,"$25,000 under $50,000",132,4750
15018,"$50,000 under $75,000",85,5261
15018,"$75,000 under $100,000",48,4707
15018,"$100,000 under $200,000",**,**
15018,"$200,000 or more",**,**
,,,
15019,,827,"45,824"
15019,"$1 under $25,000",336,4087
15019,"$25,000 under $50,000",209,7772
15019,"$50,000 under $75,000",131,8227
15019,"$75,000 under $100,000",67,5578
15019,"$100,000 under $200,000",60,7407
